项目名称,项目概况,总投资,环保投资,环保投资占比
青海省海西州那棱格勒河水利枢纽工程,工程位于青海省海西州格尔木市乌图美仁乡境内，开发任务为以供水、防洪为主，兼顾发电。正常蓄水位3297米，水库总库容5.88亿立方米，属不完全年调节水库。工程主要由挡水建筑物、泄水建筑物和引水发电系统等建筑物组成。拦河大坝由主坝和副坝组成，主坝为沥青混凝土心墙堆石坝，最大坝高78米。电站厂房采用地面式厂房，总装机容量为2.4万千瓦。 工程总投资23.2亿元，其中环保投资约12662万元，约占总投资的5.5%。,23.2亿元,12662万元,5.5%
伊泰伊犁能源有限公司100万吨/年煤制油示范项目,项目以当地煤炭为原料，采用水煤浆气化、费托合成等工艺生产柴油68.70万吨/年，石脑油24.41万吨/年，液化石油气8.41万吨/年。建设内容主要包括：（1）主体工程：空分、煤气化、净化、油品合成、尾气制氢、油品加工等生产装置。（2）公用工程：热电站（煤粉锅炉等）、净水厂、循环冷却水系统、化学水站等。（3）储运工程：备煤系统、罐区、仓库等。（4）环保工程：废水处理系统、回用水系统、废气处理设施、火炬系统等。 项目总投资163.22亿元，其中环保投资23.0752亿元，占总投资的14.14%。,163.22亿元,23.0752亿元,14.14%
金沙江上游巴塘水电站,巴塘水电站坝址位于金沙江干流上游，是上游近期实施方案的第 5 个梯级。工程开发任务以发电为主 ， 采用堤坝式开发，电站总装机容量75万千瓦（3×25万千瓦）。巴塘水电站正常蓄水位2545米，死水位2540米，正常蓄水位库容1.28亿立方米，具有日调节性能。工程枢纽主要由挡水建筑物、泄水建筑物、引水发电系统等组成。挡水建筑物为沥青混凝土心墙坝，最大坝高69米。工程永久占地595.87公顷，规划设计水平年搬迁安置565人，生产安置349人。 工程静态总投资106亿元，其中环境保护投资65155.85万元，约占工程总投资的6.15%。 。,106亿元,65155.85万元,6.15%
引绰济辽工程,工程建设内容包括水源工程文得根水库和输水工程，其中水源文得根水库位于内蒙古自治区兴安盟扎赉特旗，受水区为兴安盟和通辽市。开发任务为向沿线城市和工业园区供水，结合灌溉，兼顾发电等综合利用。工程多年平均调水量4.54亿立方米。水源水库正常蓄水位37 7 米，总库容18.88亿立方米，兴利库容15.18亿立方米，具有多年调节性能。水库枢纽由主坝、副坝、溢洪道、引水发电兼灌溉系统、鱼道等组成，主坝为粘土心墙砂砾石坝，最大坝高47.8米。输水工程全长389.5公里，全线采用封闭自流输水方式，主要建筑物由取水口、无压隧洞、压力管道及穿河等组成。取水口设计输水流量18.58立方米/秒。 工程 总投资 232.82 亿元，其中环保投资 88252.85 万元,232.82亿元,88252.85万元,
内蒙古吉煤矿业有限公司霍林河二号（达来胡硕）矿井及选煤厂,"项目位于内蒙古自治区通辽市霍林郭勒市达来胡硕区，属霍林河矿区。井田面积37.74平方公里，设计规模600万吨/年，配套建设同等规模选煤厂，服务年限140.3年。采用斜-立井混合开拓方式，长壁式大采高综采采煤方法，全部陷落法管理顶板。采用重介选煤工艺。设一个矿井工业场地,主要建设主斜井、副斜井、进风立井、回风立井、选煤厂等主体工程以及辅助工程，原煤仓、产品仓等储运工程，供水供热及矿井水处理站等公用及环保工程。工程总投资39.05亿元，其中环保投资3923.6万元，占总投资的1.0%。",39.05亿元,3923.6万元,1.0%
滁河汊河船闸重建工程,工程由汊河节制闸、汊河船闸组成。主体工程由水工建筑、陆域建筑组成。滁河航道规划为Ⅳ级航道，汊河船闸按Ⅳ级船闸设计。 项目总投资38624.9万元，环保投资442.5万元。,38624.9万元,442.5万元,
福建省泉州白濑水利枢纽工程,白濑水库位于福建省泉州市晋江流域西溪上游河段，开发任务为以供水为主，结合防洪，兼顾发电。白濑水库本身不直接供水，通过与东溪山美水库共同调节径流，再由晋江干流金鸡拦河闸供水，多年平均新增供水3.01亿立方米。水库正常蓄水位290.0米，总库容5.75亿立方米，具有多年调节性能。挡水建筑物为碾压混凝土重力坝，最大坝高 107.7 米，总装机容量为57兆瓦。工程生产安置10969人，搬迁安置39013人。 工程总投资128.11亿元，其中环保投资4.32亿元。,128.11亿元,4.32亿元,
湖北碾盘山水利水电枢纽工程,工程涉及湖北省荆门市、襄阳市，开发任务为以发电、航运为主，兼顾灌溉、供水。水库总库容9.02亿立方米，正常蓄水位50.72米，死水位50.32米，调节库容0.83亿立方米，具有日调节性能。工程枢纽建筑物主要有土石坝、泄水闸、电站厂房、连接坝段、鱼道、船闸及右岸连接重力坝。电站总装机容量180兆瓦。航道渠化后提高到Ⅲ级，船闸按1000吨级船队一次过坝4×1000吨标准设计，全长约1606米。右岸设置过鱼设施。工程总设计灌溉面积46万亩；库区左岸规划城市供水取水口，设计取水流量4.12立方米/秒。工程生产安置15054人。 工程总投资61.5亿元，其中环保投资30154万元。,61.5亿元,30154万元,
高海拔宇宙线观测站项目,工程由观测基地和测控基地组成，主要包括观测基地场区的科学实验装置安装工程、附属构筑物工程、工艺用水及循环系统工程、土建及配套设施工程以及测控基地场区测控楼建设。 工程总投资94906万元，其中环保设施投资1503.52万元，占项目总投资的1.58%。,94906万元,1503.52万元,1.58%
浙江石油化工有限公司4000万吨/年炼化一体化项目,项目以 高硫 、 高硫高酸 的沙特、伊朗和巴西原油为原料，建设 4000万吨 /年炼化一体化项目，以对二甲苯、 汽油 、 航煤 产品为主，同时生产 柴油 、苯、 优质乙烯原料 及下游化工产品等。项目主要建设内容包括主体工程（23套炼油装置、17套化工装置）、储运工程（罐区）、公用工程（循环水系统，空压站，火炬系统等）、环保工程（油气回收、事故水池）等。依托工程包括基地围填海工程、基地污水处理厂、基地固体废物处置中心、基地动力中心、原油码头、原油罐区、基地海水淡化工程（为该项目提供工业用水）等11个工程 。 项目总投资1829亿元，其中环保投资93.9亿元，占总投资的5.1%。,1829亿元,93.9亿元,5.1%
新建铁路贵阳至南宁客运专线,项目包括正线和贵阳枢纽、南宁枢纽相关工程。正线起于贵阳市，途经贵州省黔南布依族苗族自治州和广西壮族自治区的河池市，止于南宁市，长度482.132公里。设计为双线电气化客运专线，速度目标值350公里/小时。贵阳枢纽相关工程主要包括新建贵阳枢纽大土联络线10.949公里，改建贵安站及顺接反发线6.752公里，新建贵阳北第二动车运用所及相关动车走行线2.962公里。南宁枢纽相关工程主要包括新建南宁东客车联络线6.627公里，还建南钦上行客车联络线，改移柳南正线2.192公里和钦柳联络线6.786公里，南宁东站咽喉改造以及新建南宁第二动车运用所。全线设车站15座（含既有站改建5个、新建站10个），动车运用所2座，牵引变电所10座。项目正线采用无砟轨道，一次铺设跨区间无缝线路，到发线采用无砟轨道和有砟轨道，联络线及改建线采用有砟轨道铺设跨区间无缝线路。项目总投资约757亿元，其中环保投资约17.59亿元，占总投资的2.35%。,757亿元,17.59亿元,2.35%
中国石化长城能源化工（贵州）有限公司60万吨/年聚烯烃项目,项目以贵州当地无烟煤为原料，采用粉煤气气技术和S-MTO技术生产烯烃，工程建设内容主要包括新建180万吨/年甲醇装置、180万吨/年甲醇制烯烃装置、30万吨/年线性低密度聚乙烯和30万吨/年聚丙烯生产装置，以及相配套公用工程及辅助设施。项目总投资约167.7亿元，其中环保投资17.1亿元，占项目总投资的10.2%。,167.7亿元,17.1亿元,10.2%
广西玉林民用机场,机场场址位于广西玉林市福绵区石和镇，北侧距玉林市直线距离 21 公里。工程为新建国内支线机场，飞行区等级 4C ，设计目标年 2025 年旅客吞吐量为 74 万人次，货邮吞吐量 5000 吨，飞机起降 8132 架次。主要建设内容为新建 1 条长 2600 米跑道， 1 条垂直联络道， 1 个停机坪， 8000 平方米航站楼， 7000 平方米停车场， 1200 平方米货运区。新建 2 座 500 立方米的地面立式储油罐， 1 座汽车加油站，配套建设污水处理站和垃圾转运站等。场外供水、供电、通讯等单独立项建设，不纳入本工程。工程总投资为 165135 万元，其中环保投资约为 2236.32 万元，占工程总投资 1.35% 。,165135万元,2236.32万元,1.35%
山东省湖东滞洪区建设工程,山东省湖东滞洪区建设工程包括防洪工程和安全建设工程，其中，防洪工程包括加固两城四村堤防 1.4 公里，新建解放沟堤防 666 米。安全建设工程包括新建安全台 1 个、安全楼 4 座；新建撤退道路 84.7 公里，改建 118.08 公里；新建桥梁 3 座，重建 41 座，维修 1 座；新建排水涵洞 18 座，重建 109 座，维修 1 座；新修过路涵 185 座。 工程永久占地 6.46 公顷，生产安置人口 67 人。 工程总投资 5.51 亿元 ，其中环保投资 1461.59 万元。,5.51亿元,1461.59万元,
恩县洼滞洪区建设工程,恩县洼滞洪区建设工程内容包括卫运河右堤背水侧草皮护坡 1.409 公里；陈公堤堤坡整修 1.19 公里，堤顶路翻修 22.08 公里，新建箱涵 1 座、重建 1 座，维修加固涵管 9 座，封堵涵闸 4 座；治理三条排灌渠总长 23.947 公里；修建六五河挡洪闸 1 座。加固原县城围堤 8.47 公里；新建六六河左堤东延段 0.5 公里，加固 6.53 公里；修建县城安全区排涝站 1 座；翻修撤退路 163.473 公里；拆除重建桥梁 19 座、维修 2 座；新建涵管 20 座；维修加固涵闸 3 座。新建防汛调度中心、六五河挡洪闸闸管所、安全区排涝站管理所各 1 处。 工程永久占地 97.03 公顷，生产安置人口 95 人。 工程总投资 3.35 亿元，其中环保投资 1126.43 万元。,3.35亿元,1126.43万元,
长江马鞍山河段二期整治工程,工程建设内容主要包括护岸工程和河势控制工程，其中新建护岸工程长 11.5 公里，加固工程长 28.7 公里；小黄洲左汊口门护底工程长 900 米、宽 180 米至 280 米。 工程永久占地 25.53 公顷，不涉及移民安置。 工程总投资 10.2 亿元，其中环境保护投资 2834.1 万元。,10.2亿元,2834.1万元,
榆林神华能源有限责任公司郭家湾煤矿排矸场变更工程,郭家湾矿井及选煤厂工程我部曾以环审〔 2011 〕 108 号文予以批复，建设规模 800 万吨 / 年，配套建设 1000 万吨 / 年选煤厂。本次变更工程主要内容为：排矸场选址变更，井田面积减少 0.792 平方公里，优化选煤厂工艺布置，改进生活污水处理工艺、锅炉烟气脱硫除尘工艺和各产尘点除尘工艺，使脱硫和除尘效率从 65% 、 95% 提高至 80% 、 99.4% 。变更后矿井及选煤厂设计规模、井田地理位置和井田范围不变。排矸场选址由工业场地东侧 700 米荒沟调整为工业场地东侧 1.7 公里蛮赖沟荒沟，占地面积减少 7.45 公顷，服务年限缩短至 3 年，容量相应减少 21.99 万立方米。矸石运距增加 690 米。 变更后，工程静态总投资 30.80 亿元，其中环保投资 7297.4 万元，约占 2.37% 。,30.80亿元,7297.4万元,2.37%
新建赣州至深圳客运专线,项目包括正线和枢纽地区配套工程。正线起自江西省昌赣客专赣州西站（不含），终于深圳枢纽深圳北站（不含），全长436.124公里，按双线电气化客运专线标准建设，设计速度目标值350 公里/小时。枢纽地区配套工程主要包括联络线工程（共长7.286公里）、动车运用所工程和笋岗地区动车走行线。全线新建车站10座、AT牵引变电所9座、隧道147座、桥梁325座。 项目 总投资636.67亿元，其中环保投资16.13亿元，占总投资的2.5%。,636.67亿元,16.13亿元,2.5%
新建北京至唐山城际铁路,项目包括正线和北京、唐山枢纽相关工程。正线起于北京市通州区，途经河北省廊坊市、天津市宝坻区、河北省唐山市，止于唐山站，长度148.74公里。为双线电气化客运专线，北京至香河段设计速度目标值为200公里/小时，香河至唐山段设计速度目标值为350公里/小时。北京枢纽相关工程包括大厂动车运用所及走行线，改建京哈左线。唐山枢纽相关工程包括京唐津秦上、下行联络线，唐山动车运用所及走行线，改建津山左线。全线设车站7座，其中改造既有站2座，新建5座，预留机场南站。新建牵引变电所3座、动车运用所2座。工程北京城市副中心地下站及区间隧道段采用无砟轨道，香河站以西区间地面线正线采用有砟轨道，香河站（不含）至唐山站采用无砟轨道，唐山站及临近唐山站限速范围采用有砟轨道。联络线、动车走行线、改建线采用有砟轨道。工程总投资449.06亿元，其中环保投资 2 . 5 1亿元，占总投资的0.56%。,449.06亿元,2.51亿元,0.56%
新建铁路鲁南快速铁路客运通道菏泽至兰考段,工程位于山东省菏泽市、河南省商丘市、兰考县，项目包括正线和连接线。正线从菏泽至曲阜城际铁路菏泽东站接出，经菏泽市牡丹区、开发区、定陶县、曹县、东明县，河南省兰考县、商丘市民权县，接入兰考南站，线路全长75.757公里，其中山东省境内35.162公里，河南省境内40.595公里。正线按双线电气化客运专线标准建设，设计速度目标值350 公里/小时。联络线总长6.145公里，包括兰考南站下行联络线1.596公里、兰考南站上行联络线4.549公里。全线设车站3座（利用既有车站1座，既有站改建1座、新建站1座），设牵引变电所1座。项目正线采用无砟轨道，联络线采用有砟轨道，一次铺设跨区间无缝线路。项目总投资88.27亿元，其中环保投资约1.25亿元，占总投资的1.42%。,88.27亿元,1.25亿元,1.42%
伊犁新天煤化工有限责任公司20亿立方米/年煤制天然气项目,项目利用当地煤炭资源，采用碎煤加压气化、净化、甲烷化等技术，生产20亿方/年合成天然气及副产品。建设内容主要包括：（1）主体工程：空分、煤气化、变换冷却、低温甲醇洗、甲烷化、硫回收等生产装置。（2）公辅工程：热电站（高压煤粉锅炉等）、给水系统、储运系统（煤库、罐区、综合仓库等）、火炬等。（3）环保工程：废水处理系统、回用水处理系统、废气处理设施等。 项目总投资155亿元，其中环保投资27.971亿元，占总投资的18.0%。,155亿元,27.971亿元,18.0%
吉林丰满水电站全面治理（重建）工程变更,丰满水电站大坝全面治理（重建）工程在原坝轴线下游120米处进行重建 ， 总装机容量扩至 148万千瓦， 开发方式、开发任务 、 调节性能等基本不变 。本次变更，结合水温专项研究工作，将 叠梁门分层取水 变更为 常规电站进水口取水方案，同时将老坝拆除坝段高程由237.5米调整到240.0米 ； 将丰满水电站鱼类增殖站 由 丰满大坝左岸下游 650米处调整至其反调节水库永庆水库大坝左岸，原永庆水库鱼道由永庆大坝右岸调整至左岸 ，由竖缝式鱼道变更为永庆反调节水库左岸3孔生态泄水闸 和 仿生态鱼道方案。 变更后 ， 工程静态总投资 72.39 亿元，其中环保投资 75824.59万元，约占10.47 % 。,72.39亿元,75824.59万元,10.47%
漳卫南运河四女寺枢纽北进洪闸除险加固工程,工程位于漳卫河流域，建设任务主要为对北进洪闸按原功能、原标准进行除险加固。主要建设内容包括水闸拆建和加固、下游河道清淤和管理区部分设施拆除重建。 工程总投资 10496 万元，其中环保投资 469.1 万元。,10496万元,469.1万元,
西北区域人工影响天气能力建设项目,建设内容包括飞机作业能力建设、飞机作业保障能力建设、地面作业能力建设、人影作业指挥系统建设、试验示范基地建设等；拆除甘肃省飞机人工增雨基地原有业务用房 并 原址新建；在甘肃张掖和新疆乌鲁木齐分别建设祁连山地形云人工增雨（雪）试验示范基地和天山地形云人工增雨（雪）试验示范基地。 工程总投资11 . 84 亿 元，其中环保设施投资176万元 。,11.84亿元,176万元,
鄂尔多斯-安平-沧州输气管道工程,工程包括1条干线（陕西神木-河北沧州）、5条支干线和2条上输支线，线路全长2293公里，设计输气量300亿立方米/年。全线设工艺场站25座、截断阀室84座；穿越大中型河流63处、铁路40处、高等级公路95处，设山体隧道10处；新改扩建伴行路257.8公里、施工便道264.2公里。 项目总投资351.59亿元，环保投资8.88亿元，占总投资的2.53%。,351.59亿元,8.88亿元,2.53%
新建黑龙江绥芬河民用机场工程,场址位于黑龙江省牡丹江市下辖东宁市绥阳镇红旗村。工程为新建国内支线机场，飞行区等级4C，设计目标年2025年旅客吞吐量45万人次，货邮吞吐量3600吨，飞机起降4800架次。工程主要建设内容包括飞行区工程、航站区工程及相关配套工程。新建1座300立方米的事故池。新建1座处理能力为50立方米/日的污水处理站及4500立方米的储水池。新建1座锅炉房，内设2台1.4兆瓦的燃油热水锅炉，配套建设2座32立方米的埋地式柴油储罐。新建1座60平方米的垃圾转运站。场外配套进场道路、供电、供水、通信工程等不纳入本工程，由地方政府负责建设。工程永久占地类型主要为旱地和林地，不占用基本农田和生态公益林，设置临时占地。工程总投资11.1513亿元，其中环保投资2320万元，约占工程总投资的比例为2.08%。,11.1513亿元,2320万元,2.08%
神华宁煤400万吨/年煤炭间接液化示范项目环评变更暨煤泥综合利用项目,项目建设地点仍位于宁夏回族自治区宁东能源化工基地，工程规模、工艺流程、主体工程、环保工程、平面布置等均发生变化。（1）油品合成加工规模由 385 万吨/年增至 405 万吨/年，新增甲醇100万吨/年。（2）总体工艺变更为GSP炉+宁煤炉粉煤加压气化、中科合成油费托合成技术。（3）主体工程：气化装置由18台增至28台。（4）环保工程：废气及废水治理措施均加强；建设危废填埋场和干盐池，锅炉灰渣、气化炉渣等依托园区1号渣场进行填埋处置。（5）依托工程包括宁东供水工程、园区1号渣场及厂外雨水排水工程。（6）主厂区平面布置进行了调整，建设中厂外蒸发塘（晒盐场）、缓冲水池选址发生变更。 项目变更后，项目总投资由559.98亿元增至593.11亿元，环保投资由26.7亿元增加至68.94亿元，占总投资的比例由4.78%增至 11.62% 。,593.11亿元,68.94亿元,11.62%
四川省脚木足河巴拉水电站,电站坝址位于四川省阿坝州马尔康市日部乡色江吊桥下游约 2.2 公里处。工程开发任务为发电，采用混合式开发，电站总装机容量 74.3 万千瓦（其中主电站 3 台 ×24 万千瓦，生态电站 1 台 ×2.3 万千瓦）。水库正常蓄水位 2920 米，正常蓄水位库容 1.277 亿立方米，调节库容 650 万立方米，具有日调节性能。工程枢纽建筑物主要包括挡水坝、泄洪建筑物、引水隧洞及发电系统等。挡水坝为混凝土面板堆石坝，最大坝高 138 米。工程永久占地 433.89 公顷，规划设计水平年搬迁安置 112 人，生产安置 29 人。 工程总投资69.84亿元，其中环保投资66533.08万元。,69.84亿元,66533.08万元,
宁波 - 舟山港穿山港区中宅矿石码头（二期）工程,工程位于浙江省宁波市北仑区穿山半岛北侧，新建泊位在穿山港区中宅煤炭码头工程东西两侧顺接，工程东侧紧邻中海浙江宁波液化天然气有限公司 LNG 码头。主要建设内容为新建 1 个 30 万吨级散货卸船泊位（水工结构按靠泊 40 万吨设计）、 1 个 5 万吨级散货装船泊位、 1 个 3.5 万吨级散货装船泊位，码头岸线总长 813 米。对一期卸船码头西端 160 米范围进行加固。设计铁矿石吞吐量为 2000 万吨 / 年。工程用海总面积 63.22 公顷，用海方式为透水构筑物用海和港池用海。陆域总面积 34.88 公顷，其中花船片区 14.44 公顷，上宅片区 20.44 公顷。 工程总投资 16 亿元，其中环保投资 6352 万元。,16亿元,6352万元,
黄河粗泥沙集中来源区拦沙工程一期项目,工程位于黄河北干流，建设任务主要为拦截中游入黄泥沙，减少黄河下游淤积。工程建设内容主要为在173条小流域中建设3306座中小型拦沙坝。其中，库容50～100万立方米的中型拦沙坝638座，库容小于50万立方米的小型拦沙坝2668座。拦沙坝主要由土坝、溢洪道和泄水洞组成，均为碾压式均质土坝。 工程总投资45.2亿元，其中环保投资7952万元。,45.2亿元,7952万元,
吉林西部供水工程,工程位于吉林省西部，涉及白城、松原及长春地区。工程任务为主要利用现有工程从松花江、嫩江等取水，多年平均总引水量为5.45亿立方米，向吉林省西部地区的重要湖泡、湿地供水，恢复和改善区域生态环境。工程新建渠道107.4公里，改扩建渠道573.8公里；新建管线25公里；新建方涵1.6公里；塌岸治理16.7公里，围堤加固5.4公里；泵站10座；新建水闸108座，重建水闸7座；新建倒虹吸2座；拆除重建渡槽3座；重建公路桥2座，新建农道桥48座，重建农道桥59座；新建路（渠）下涵40座；重建路（渠）下涵30座。 工程总投资35.3亿元，其中环保投资9446.3万元。,35.3亿元,9446.3万元,
天津液化天然气（LNG）项目输气干线工程变更,本项目接收气源为澳大利亚液化天然气，包括码头及陆域形成工程、接收站工程和输气管道工程三部分，其中输气管道工程全长634公里，途径天津市、河北省和山东省。2014年4月，我部以环审〔2014〕81号文批复了该项目环境影响报告书。 此次工程发生以下重大变动：北大港湿地自然保护区段路由向北摆动，穿越实验区长度由18.5公里减少至17.7公里；簸箕李引黄干渠穿越位置向南调整约2.3公里；黄河阀室-桓台末站段路由整体向西摆动，长度由35.2公里减少至31.6公里，末站由桓台改为邹平，沿线涉及的环境敏感目标减少，南水北调东线穿越位置向西调整14.6公里，穿越长度由580米减少至443米；乙烯支线接收站-南港分输清管站段管径由711毫米增大到813毫米。,,,
陕京四线输气管道工程变更,包括一条干线四条支干线，全长1274.5公里，干线起自陕西省靖边首站，止于北京市高丽营末站，设计输气量250亿立方米。2014年4月，我部以环审〔2014〕82号批复该项目环境影响报告书。 本工程变更内容：9段路由发生变化，共涉及管道411. 4公里；7处河流穿跨越位置变更，新增1处山体隧道，7座场站位置变更，减少2座阀室，取消榆林联络线；全线场站取消加热炉、采暖锅炉和放空管点火装置。工程变更后共包括1条干线和3条支线，线路全长1238.8公里，较原环评阶段减少35.7公里，沿线设14座工艺站场和53座截断阀室，共设4座山体隧道。 重大变动路段：干线靖边首站-乌审旗段在靖边四柏树水源地保护区内路由调整，榆林压气站位置调整，变更为红墩界压气站；官厅水库保护区段在官厅水库水源地保护区三级区内5处路由调整；延庆分输站在延庆区城市自来水地下水源地二级保护区内位置调整；怀柔区九渡河镇段在怀柔水库水源地保护区内路由调整；怀柔区桥梓镇段新增一处山体隧道；鄂尔多斯压气站、乌兰察布压气站、托克托压气站位置调整。,,,
云南省曲靖市车马碧水库工程,车马碧水库位于云南省曲靖市牛栏江支流马龙河下游。工程开发任务为工业供水和农业灌溉供水，并为改善受水区河道内水环境创造条件。工程多年平均供水量7103万立方米。工程包括水库枢纽工程和输水隧洞工程。水库正常蓄水位1938.5米，死水位1915.3米，总库容1.24亿立方米，具有多年调节性能。挡水建筑物为混凝土面板堆石坝，最大坝高52米。输水隧洞总长29.6公里，设计引水流量5.8 立方米/秒。 工程总投资 21.2亿元 ，其中环保投资21378.5万元。,21.2亿元,21378.5万元,
新疆大石峡水利枢纽工程,工程坝址位于新疆阿克苏地区阿克苏河支流库玛拉克河大石峡峡口处。开发任务为在保证阿克苏河向塔里木河干流生态供水目标的前提下，以灌溉为主、结合防洪、兼顾发电等综合利用。水库正常蓄水位1700米，死水位1590米，总库容11.74亿立方米， 调节库容 10.22 亿 立方米，具有不完全年调节性能。挡水建筑物采用混凝土面板砂砾石坝，最大坝高247米；电站装机750兆瓦。 工程 总投资90.8亿元，其中环保投资20378.3万元。,90.8亿元,20378.3万元,
